"Online
ISSN",Journal Title,,,"APC Amount
(USD $)"
,Atmospheric Science Letters,Gold,USD,1500
,Australian and New Zealand Journal of Public Health,Gold,USD,0
,BJS Open,Gold,USD,2200
,Bioengineering & Translational Medicine,Gold,USD,1800
,Brain and Behavior,Gold,USD,2700
,Cancer Medicine,Gold,USD,2500
,Cancer Science,Gold,USD,2250
,ChemistryOpen,Gold,USD,3000
,Clinical and Experimental Dental Research,Gold,USD,2300
,Clinical & Translational Immunology ,Gold,USD,2200
,Clinical and Translational Science,Gold,USD,3000
,Clinical Case Reports,Gold,USD,1000
,Conservation Letters,Gold,USD,1850
,CPT: Pharmacometrics & Systems Pharmacology,Gold,USD,3000
,Earth and Space Science,Gold,USD,1800
,Earth's Future,Gold,USD,1800
,Ecology and Evolution,Gold,USD,1950
,Ecosphere,Gold,USD,1500
,EFSA Journal,Gold,USD,2400
,EMBO Molecular Medicine,Gold,USD,4200
,"Endocrinology, Diabetes & Metabolism",Gold,USD,2000
,Energy Science & Engineering,Gold,USD,1900
,Epilepsia Open,Gold,USD,2400
,ESC Heart Failure,Gold,USD,2700
,Evolutionary Applications,Gold,USD,2400
,Evolution Letters,Gold,USD,2500
,FEBS Open Bio,Gold,USD,1495
,Food and Energy Security,Gold,USD,2400
,Food Science & Nutrition,Gold,USD,2200
,GCB Bioenergy,Gold,USD,2500
,Geo: Geography and Environment,Gold,USD,1800
,GeoHealth,Gold,USD,1800
,Geoscience Data Journal,Gold,USD,1500
,Global Challenges,Gold,USD,3500
,Health Expectations,Gold,USD,2430
,Health Science Reports,Gold,USD,2200
,Hepatology Communications,Gold,USD,2500
,"Immunity, Inflammation and Disease",Gold,USD,2200
,Influenza and Other Respiratory Viruses,Gold,USD,2700
,Japan Architectural Review,Gold,USD,1500
,JBMR Plus,Gold,USD,2500
,JGH Open ,Gold,USD,2000
,JOR Spine ,Gold,USD,2250
,Journal of Advances in Modeling Earth Systems,Gold,USD,unknown
,Journal of Applied Clinical Medical Physics,Gold,USD,500
,Journal of Arrhythmia,Gold,USD,0
,"Journal of Cachexia, Sarcopenia and Muscle",Gold,USD,3125
,Journal of Cellular and Molecular Medicine,Gold,USD,2600
,Journal of Diabetes Investigation,Gold,USD,3000
,Journal of General and Family Medicine,Gold,USD,2500
,Journal of Interdisciplinary Nanomedicine,Gold,USD,2000
,Journal of Medical Radiation Sciences,Gold,USD,1900
,Journal of the American Heart Association,Gold,USD,2300
,Journal of the International AIDS Society ,Gold,USD,2400
,Journal of Veterinary Internal Medicine,Gold,USD,1700
,Laryngoscope Investigative Otolaryngology,Gold,USD,1950
,Learning Health Systems,Gold,USD,2000
,Limnology and Oceanography Letters,Gold,USD,2500
,Marine and Coastal Fisheries,Gold,USD,1800
,Microbial Biotechnology,Gold,USD,2876
,MicrobiologyOpen,Gold,USD,2400
,Molecular Genetics & Genomic Medicine,Gold,USD,2200
,Molecular Oncology,Gold,USD,3000
,Molecular Systems Biology,Gold,USD,4200
,Nursing Open,Gold,USD,2000
,Obesity Science & Practice,Gold,USD,2500
,Pharmacology Research & Perspectives,Gold,USD,2500
,Physiological Reports,Gold,USD,1600
,Plant Biotechnology Journal,Gold,USD,2800
,Plant Direct,Gold,USD,2200
,Precision Radiation Oncology,Gold,USD,0
,Regeneration,Gold,USD,2500
,Remote Sensing in Ecology and Conservation,Gold,USD,1921
,Reproductive Medicine Biology,Gold,USD,1600
,Research and Practice in Thrombosis and Haemostasis,Gold,USD,2000
,Respirology Case Reports,Gold,USD,1000
,STEM CELLS and Translational Medicine,Gold,USD,1750
,The Depositional Record,Gold,USD,2000
,The Journal of Pathology: Clinical Research,Gold,USD,2000
,Thoracic Cancer,Gold,USD,2200
,Transactions of the London Mathematical Society,Gold,USD,1250
,Veterinary Medicine and Science,Gold,USD,2000
